date,Trauma
2017-10-01,16.21
2017-10-02,35.24
2017-10-03,32.07
2017-10-04,26.43
2017-10-05,28.54
2017-10-06,24.31
2017-10-07,19.03
2017-10-08,17.62
2017-10-09,22.55
2017-10-10,24.67
2017-10-11,24.31
2017-10-12,24.67
2017-10-13,29.25
2017-10-14,20.09
2017-10-15,25.02
2017-10-16,29.95
2017-10-17,28.19
2017-10-18,26.43
2017-10-19,24.67
2017-10-20,22.55
2017-10-21,17.97
2017-10-22,23.61
2017-10-23,22.2
2017-10-24,25.02
2017-10-25,23.61
2017-10-26,22.9
2017-10-27,20.09
2017-10-28,16.56
2017-10-29,17.27
2017-10-30,21.14
2017-10-31,22.2
2017-11-01,22.2
2017-11-02,21.5
2017-11-03,21.85
2017-11-04,14.45
2017-11-05,16.56
2017-11-06,23.26
2017-11-07,23.26
2017-11-08,22.55
2017-11-09,22.9
2017-11-10,20.44
2017-11-11,17.27
2017-11-12,16.91
2017-11-13,22.9
2017-11-14,24.31
2017-11-15,23.96
2017-11-16,23.26
2017-11-17,21.5
2017-11-18,16.56
2017-11-19,16.56
2017-11-20,26.43
2017-11-21,26.78
2017-11-22,26.78
2017-11-23,18.68
2017-11-24,16.91
2017-11-25,18.32
2017-11-26,19.03
2017-11-27,21.5
2017-11-28,25.72
2017-11-29,24.31
2017-11-30,22.55
2017-12-01,22.55
2017-12-02,18.68
2017-12-03,17.97
2017-12-04,22.55
2017-12-05,29.6
2017-12-06,23.61
2017-12-07,22.9
2017-12-08,20.44
2017-12-09,15.86
2017-12-10,16.21
2017-12-11,21.14
2017-12-12,21.85
2017-12-13,21.5
2017-12-14,21.14
2017-12-15,20.79
2017-12-16,14.45
2017-12-17,15.86
2017-12-18,18.32
2017-12-19,17.27
2017-12-20,17.62
2017-12-21,16.91
2017-12-22,15.5
2017-12-23,14.1
2017-12-24,13.04
2017-12-25,11.63
2017-12-26,13.74
2017-12-27,16.56
2017-12-28,16.56
2017-12-29,16.21
2017-12-30,15.15
2017-12-31,13.74
2018-01-01,12.69
2018-01-02,16.91
2018-01-03,19.03
2018-01-04,19.03
2018-01-05,18.68
2018-01-06,14.1
2018-01-07,15.86
2018-01-08,19.03
2018-01-09,20.79
2018-01-10,21.85
2018-01-11,21.14
2018-01-12,19.73
2018-01-13,16.91
2018-01-14,16.21
2018-01-15,16.91
2018-01-16,20.79
2018-01-17,20.44
2018-01-18,21.14
2018-01-19,20.79
2018-01-20,16.91
2018-01-21,16.91
2018-01-22,21.14
2018-01-23,21.5
2018-01-24,23.26
2018-01-25,22.55
2018-01-26,22.2
2018-01-27,18.32
2018-01-28,17.97
2018-01-29,23.61
2018-01-30,22.9
2018-01-31,22.2
2018-02-01,22.9
2018-02-02,21.5
2018-02-03,19.03
2018-02-04,18.32
2018-02-05,20.44
2018-02-06,23.96
2018-02-07,22.55
2018-02-08,23.96
2018-02-09,21.85
2018-02-10,18.68
2018-02-11,21.88
2018-02-12,22.57
2018-02-13,23.59
2018-02-14,23.59
2018-02-15,23.93
2018-02-16,21.88
2018-02-17,17.78
2018-02-18,18.46
2018-02-19,21.88
2018-02-20,24.28
2018-02-21,26.33
2018-02-22,24.28
2018-02-23,21.88
2018-02-24,18.12
2018-02-25,19.15
2018-02-26,23.25
2018-02-27,23.93
2018-02-28,23.93
2018-03-01,24.96
2018-03-02,23.25
2018-03-03,18.81
2018-03-04,20.52
2018-03-05,23.93
2018-03-06,25.64
2018-03-07,24.96
2018-03-08,23.59
2018-03-09,23.25
2018-03-10,21.88
2018-03-11,22.57
2018-03-12,31.12
2018-03-13,29.06
2018-03-14,25.64
2018-03-15,25.64
2018-03-16,22.91
2018-03-17,18.46
2018-03-18,19.49
2018-03-19,23.59
2018-03-20,25.64
2018-03-21,24.28
2018-03-22,26.33
2018-03-23,23.59
2018-03-24,18.46
2018-03-25,19.15
2018-03-26,24.28
2018-03-27,25.99
2018-03-28,24.62
2018-03-29,23.93
2018-03-30,21.54
2018-03-31,18.81
2018-04-01,17.44
2018-04-02,21.2
2018-04-03,26.67
2018-04-04,27.01
2018-04-05,25.3
2018-04-06,22.23
2018-04-07,19.15
2018-04-08,18.12
2018-04-09,25.99
2018-04-10,27.01
2018-04-11,27.01
2018-04-12,26.33
2018-04-13,22.57
2018-04-14,19.15
2018-04-15,19.49
2018-04-16,24.62
2018-04-17,26.67
2018-04-18,27.01
2018-04-19,28.38
2018-04-20,23.59
2018-04-21,19.15
2018-04-22,21.2
2018-04-23,25.3
2018-04-24,25.99
2018-04-25,25.64
2018-04-26,23.93
2018-04-27,22.57
2018-04-28,18.46
2018-04-29,19.15
2018-04-30,22.91
2018-05-01,23.25
2018-05-02,24.62
2018-05-03,27.01
2018-05-04,21.88
2018-05-05,16.75
2018-05-06,18.12
2018-05-07,22.57
2018-05-08,23.93
2018-05-09,24.62
2018-05-10,24.28
2018-05-11,21.54
2018-05-12,15.39
2018-05-13,15.73
2018-05-14,22.57
2018-05-15,22.23
2018-05-16,22.57
2018-05-17,22.23
2018-05-18,22.91
2018-05-19,16.07
2018-05-20,17.1
2018-05-21,22.23
2018-05-22,22.57
2018-05-23,22.23
2018-05-24,23.59
2018-05-25,20.86
2018-05-26,15.39
2018-05-27,15.73
2018-05-28,16.41
2018-05-29,21.54
2018-05-30,21.54
2018-05-31,22.91
2018-06-01,21.2
2018-06-02,16.75
2018-06-03,18.12
2018-06-04,21.54
2018-06-05,20.86
2018-06-06,20.86
2018-06-07,20.86
2018-06-08,20.52
2018-06-09,16.41
2018-06-10,15.73
2018-06-11,21.2
2018-06-12,21.2
2018-06-13,21.2
2018-06-14,21.2
2018-06-15,20.52
2018-06-16,15.73
2018-06-17,15.04
2018-06-18,34.19
2018-06-19,28.72
2018-06-20,24.28
2018-06-21,21.88
2018-06-22,20.52
2018-06-23,15.39
2018-06-24,17.1
2018-06-25,19.83
2018-06-26,22.23
2018-06-27,21.54
2018-06-28,23.93
2018-06-29,19.83
2018-06-30,15.39
2018-07-01,16.75
2018-07-02,19.15
2018-07-03,18.12
2018-07-04,16.75
2018-07-05,18.46
2018-07-06,18.81
2018-07-07,15.39
